,condition,created_at,id,max_quantity,merchant_return_insurance,min_quantity,name,price,rush_delivery,sku_id,state,stock,weight,category_url,rating_average_rate,rating_user_count,sla_type,sla_value,specs_brand,stats_interest_count,stats_sold_count,stats_view_count,stats_waiting_payment_count,store_address_city,store_address_province,store_brand_seller,store_delivery_time,store_id,store_description,store_level_name,store_name,store_premium_level,store_premium_top_seller,store_rejection_recent_transactions,store_rejection_rejected,store_reviews_negative,store_reviews_positive,store_sla_type,store_sla_value,store_subscriber_amount,store_url,warranty_cheapest,deal_applied_date,deal_discount_price,deal_expired_date,deal_original_price,deal_percentage,url,timestamp
0,Baru,2020-10-14 12:03:11.000000,3uhp1lo,2147483647,False,1,Nature Republic shooting & Moisture ALOE VERA gel - Masker muka wajah - masker kulit - pencerahan wajah Glossy - wajah kulit Glowing,99900,False,8418781771,available,9459692,300,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.5,15,normal,2,,66,365877,0,6.0,Kab. Tangerang,Banten,False,1-2 hari,354085936,"BISMILLAH,, HARGA MURAH BARANG ORIGINAL 100%!!! ~ Note - All Item READY STOCK !!! - Budayakan membaca sebelum membeli. - Buka Senin - jum'at 08.00-16.00. Diluar hari itu LIBUR, tanggal Merah LIBUR!! Orderan sudah diverifikasi Bukalapak? Langsung bungkus !!! - Menerima Dropship ( Insha Alloh aman terpercaya)",Recommended Seller,Portal Grosir Herbal,platinum,True,100,0,0,17384,normal,2,1555,https://www.bukalapak.com/u/portal_grosir_herbal,False,2021-12-26 17:00:00.000000,99900,2031-12-24 17:00:00.000000,103896,4,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3uhp1lo-jual-nature-republic-shooting-moisture-aloe-vera-gel-masker-muka-wajah-masker-kulit-pencerahan-wajah-glossy-wajah-kulit-glowing,2021-12-27 17:35:38.413312
1,Baru,2021-02-19 08:30:13.000000,4bpipev,2147483647,False,1,Jual 20 Free 3 5gr Face Organic Mask Masker Organik Full Varian by Kostec,1200,False,9473660656,available,94372,7,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,212,,0,,36,248002,0,3.0,Ciamis,Jawa Barat,False,1-2 hari,538478301,,Juragan,Kostec,platinum,False,18,1,1,1951,normal,2,10,https://www.bukalapak.com/u/kostec,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4bpipev-jual-jual-20-free-3-5gr-face-organic-mask-masker-organik-full-varian-by-kostec,2021-12-27 17:35:38.413312
2,Baru,2021-11-22 07:16:19.000000,4gtmgzm,2147483647,False,1,MANGKUK MASKER SET MANGKOK MASKER SET TERMURAH 100,25900,False,9807556258,available,260,200,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,200,,0,,1,217360,0,0.0,Jakarta Barat,DKI Jakarta,False,3-4 hari,562273295,Selamat datang di  toko TOKO 99KHOME kami menjual berbagai macam kebutuhan rumah tangga anda dengan harga yang bersahabat dan kwalitas prdouk yang bagus barang selalu ready ya gan sis selamat berbelanja gan/sis heppy shopping:),Recommended Seller,Toko 99KHome,platinum,False,2,1,0,11674,normal,2,0,https://www.bukalapak.com/u/toko_99khome_589470,False,2021-12-26 17:00:00.000000,25900,2031-12-24 17:00:00.000000,26936,4,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4gtmgzm-jual-mangkuk-masker-set-mangkok-masker-set-termurah-100,2021-12-27 17:35:38.413312
3,Baru,2020-10-14 11:47:26.000000,3uhnotk,2147483647,False,1,Masker wajah - masker Spirulina - Masker spriluna - Organic Natural - Masker muka wajah - masker kulit - pencerahan wajah Glossy - wajah kulit Glowing,89100,False,8418718031,available,9623202,20,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,5.0,42,normal,2,,49,202367,0,2.0,Kab. Tangerang,Banten,False,1-2 hari,354085936,"BISMILLAH,, HARGA MURAH BARANG ORIGINAL 100%!!! ~ Note - All Item READY STOCK !!! - Budayakan membaca sebelum membeli. - Buka Senin - jum'at 08.00-16.00. Diluar hari itu LIBUR, tanggal Merah LIBUR!! Orderan sudah diverifikasi Bukalapak? Langsung bungkus !!! - Menerima Dropship ( Insha Alloh aman terpercaya)",Recommended Seller,Portal Grosir Herbal,platinum,True,100,0,0,17384,normal,2,1555,https://www.bukalapak.com/u/portal_grosir_herbal,False,2021-12-26 17:00:00.000000,89100,2031-12-24 17:00:00.000000,92664,4,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3uhnotk-jual-masker-wajah-masker-spirulina-masker-spriluna-organic-natural-masker-muka-wajah-masker-kulit-pencerahan-wajah-glossy-wajah-kulit-glowing,2021-12-27 17:35:38.413312
4,Baru,2020-10-14 11:44:31.000000,3uhng9d,2147483647,False,1,Masker wajah - masker Spirulina - Masker spriluna - Organic Natural herbal - Masker muka wajah - masker kulit - masker pencerahan wajah Glowing,89100,False,8418706736,available,999999,20,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,5.0,13,normal,2,,37,202201,0,0.0,Kab. Tangerang,Banten,False,1-2 hari,354085936,"BISMILLAH,, HARGA MURAH BARANG ORIGINAL 100%!!! ~ Note - All Item READY STOCK !!! - Budayakan membaca sebelum membeli. - Buka Senin - jum'at 08.00-16.00. Diluar hari itu LIBUR, tanggal Merah LIBUR!! Orderan sudah diverifikasi Bukalapak? Langsung bungkus !!! - Menerima Dropship ( Insha Alloh aman terpercaya)",Recommended Seller,Portal Grosir Herbal,platinum,True,100,0,0,17384,normal,2,1555,https://www.bukalapak.com/u/portal_grosir_herbal,False,2021-12-26 17:00:00.000000,89100,2031-12-24 17:00:00.000000,92664,4,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3uhng9d-jual-masker-wajah-masker-spirulina-masker-spriluna-organic-natural-herbal-masker-muka-wajah-masker-kulit-masker-pencerahan-wajah-glowing,2021-12-27 17:35:38.413312
5,Baru,2020-10-14 12:05:00.000000,3uhp7b8,2147483647,False,1,Nature Republic shooting & Moisture ALOE VERA ASLI - ekstrak Lidah buaya gel masker - ALOE VERA ORIGINAL ALOEVERA,99900,False,8418789526,available,9623457,300,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,30,normal,2,,28,202111,0,4.0,Kab. Tangerang,Banten,False,1-2 hari,354085936,"BISMILLAH,, HARGA MURAH BARANG ORIGINAL 100%!!! ~ Note - All Item READY STOCK !!! - Budayakan membaca sebelum membeli. - Buka Senin - jum'at 08.00-16.00. Diluar hari itu LIBUR, tanggal Merah LIBUR!! Orderan sudah diverifikasi Bukalapak? Langsung bungkus !!! - Menerima Dropship ( Insha Alloh aman terpercaya)",Recommended Seller,Portal Grosir Herbal,platinum,True,100,0,0,17384,normal,2,1555,https://www.bukalapak.com/u/portal_grosir_herbal,False,2021-12-26 17:00:00.000000,99900,2031-12-24 17:00:00.000000,103896,4,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/3uhp7b8-jual-nature-republic-shooting-moisture-aloe-vera-asli-ekstrak-lidah-buaya-gel-masker-aloe-vera-original-aloevera,2021-12-27 17:35:38.413312
6,Baru,2020-12-28 07:38:49.000000,45emcek,2147483647,False,1,ROREC HCHANA Nature Republic Face Mask Sheet Korea Masker Pemutih Wajah,2850,False,9086901676,available,59405,25,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,222,,0,ROREC,34,118077,0,41.0,Semarang,Jawa Tengah,False,1-2 hari,4683574,"~&gt; Kami Merupakan Produsen Jilbab Instant Berskala Nasional dg Kualitas Tinggi 

~&gt; Dibuat dg Bahan IMPORT bukan LOKALsehingga Nyaman untuk Dikenakan 

~&gt; kritik dan saran sangat berguna unt kami agr lbh baik.

 ~&gt; unt tny2 stok atau brang sebaiknya pd jam kerja supaya hasilnya maksimal.",Recommended Seller,Pabrik Hijab Semarang,platinum,True,83,5,5,10840,normal,2,24,https://www.bukalapak.com/u/al_azazi,False,2021-01-03 17:00:00.000000,2850,2022-01-31 16:59:59.000000,4000,29,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/45emcek-jual-rorec-hchana-nature-republic-face-mask-sheet-korea-masker-pemutih-wajah,2021-12-27 17:35:38.413312
7,Baru,2021-11-02 05:16:33.000000,4gqd9zp,2147483647,False,1,BPOM BY LEA GLORIA MASKER WAJAH BUBUK ORIGINAL 20 GRAM FACE MASK ORI,3499,False,9799597078,available,615,500,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,5.0,200,,0,,2,88972,0,0.0,Jakarta Barat,DKI Jakarta,False,21 jam,577044671,,Recommended Seller,WSlittlestore,platinum,True,40,0,3,12936,normal,2,1,https://www.bukalapak.com/u/wslittlestore_413723,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4gqd9zp-jual-bpom-by-lea-gloria-masker-wajah-bubuk-original-20-gram-face-mask-ori,2021-12-27 17:35:38.413312
8,Baru,2021-02-19 08:44:08.000000,4bpjqgy,2147483647,False,1,NA Spatula Masker Sendok Masker Spatula Masker Warna,175,False,9473709811,available,39159,5,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita,4.9,203,,0,Merek lainnya,2,74426,0,200.0,Bogor,Jawa Barat,False,22 jam,538507246,Online Senin - Sabtu (10.00 - 19.00),Recommended Seller,Niaga Anyar Online Store,platinum,True,100,0,11,23159,normal,2,102,https://www.bukalapak.com/u/niagaanyaros,False,2021-11-01 17:00:00.000000,175,2023-08-13 16:59:59.000000,1007,83,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita/4bpjqgy-jual-na-spatula-masker-sendok-masker-spatula-masker-warna,2021-12-27 17:35:38.413312
9,Baru,2021-03-31 03:01:43.000000,4ecf86m,2147483647,False,1,Emina Sun Protection 60 ml,46700,False,9635988388,available,823,100,https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita,4.9,200,,0,,1,73070,0,0.0,Karawang,Jawa Barat,False,1-2 hari,47396727,Selamat Belanja Di Nabil Star Shop.. Kepuasan pembeli adalah Prioritas utama Kami... Dapatkan hadiah / Bonus setiap pembelian min.150.000/inv Selama bulan Ramadhan.,Top Seller,NabiL StaR,platinum,False,100,30,0,119905,normal,2,229,https://www.bukalapak.com/u/prapto_r_to_r,False,,,,,,https://www.bukalapak.com/p/perawatan-kecantikan/perawatan-wajah/masker-wajah-wanita/4ecf86m-jual-emina-sun-protection-60-ml,2021-12-27 17:35:38.413312
